(36,8876)
(60,6072)
(72,3710)
(74,1704)
(85,6400)
(104,8069)
(123,8386)
(209,3827)
(265,3977)
(399,1520)
(427,4607)
(514,1388)
(694,5602)
(702,2888)
(742,7310)
(776,7154)
(807,1508)
(859,1537)
(889,9155)
(894,2301)
(944,8320)
(1001,6807)
(1149,7098)
(1301,9057)
(1443,4072)
(1529,2878)
(1632,7245)
(1646,8863)
(1694,5995)
(1729,2381)
(1743,5494)
(1857,4667)
(1879,2834)
(2128,3294)
(2138,9979)
(2378,5155)
(2411,8883)
(2521,3630)
(2886,9333)
(3176,7857)
(3182,5521)
(3187,4104)
(3316,7314)
(3384,9679)
(3429,7426)
(3777,7510)
(3941,5921)
(4217,6816)
(4257,8335)
(4374,9821)
(4437,5886)
(4469,7374)
(4632,5298)
(4766,5186)
(4834,5011)
(5135,7277)
(5138,8768)
(5338,9790)
(5344,8856)
(5652,8458)
(5841,7656)
(5851,7906)
(5878,7209)
(5907,9702)
(6048,6487)
(6057,6733)
(6069,7553)
(6075,8919)
(6197,7059)
(6271,8866)
(6412,9504)
(6802,6945)
(6906,9428)
(7044,8103)
(7282,9297)
(7313,8985)
(7330,9615)
(7480,9710)
(7557,7978)
(7974,9863)
(8078,8936)
(8581,8697)
